,composition,gfa
482,Ca10Al87.5Ni2.5,False
483,Ca11Al89,True
484,Ca11Mg89,False
485,Ca12Mg7Ga,True
486,Ca14(MgAl)3,True
487,Ca15Mg3Cu2,True
488,Ca1La61.5Cu37.5,True
489,Ca1La71.5Cu27.5,True
490,Ca2.5Al87.5Ni10,False
491,Ca2.5Al92.5Fe5,False
492,Ca2.5Al92.5Ni5,False
493,Ca2Al17Co,True
494,Ca2Al17Cu,True
495,Ca2Al17Fe,True
496,Ca2Al17Ni,True
497,Ca2Al17Zn,True
498,Ca2La60.5Cu37.5,True
499,Ca2Mg17Zn,True
500,Ca2MgAl17,True
501,Ca3Al2,True
502,Ca3AlGa,True
503,Ca3La59.5Cu37.5,True
504,Ca3La68.5Cu28.5,True
505,Ca3Mg2,True
506,Ca3MgGa,True
507,Ca4La58.5Cu37.5,True
508,Ca4La67Cu29,True
509,Ca5(Mg3Cu2)3,True
510,Ca5La57.5Cu37.5,True
511,Ca5Mg3Cu2,True
512,Ca6.5La56.5Cu37,True
513,Ca6Al3Ga,True
514,Ca6AlGa3,True
515,Ca6La63Cu31,True
516,Ca6Mg3Ga,True
517,Ca6MgGa3,True
518,Ca7.5Al87.5Fe5,True
519,Ca7.5Al87.5Ni5,True
520,Ca7.5Al90Fe2.5,True
521,Ca7.5Al90Ni2.5,True
522,Ca7.5Al92.5,False
523,Ca7.5La56.5Cu36,True
524,Ca7.5Mg82.5Cu10,True
525,Ca7.5Mg82.5Zn10,False
526,Ca7.5Mg87.5Cu5,True
527,Ca7.5Mg87.5Zn5,False
528,Ca7.5Mg92.5,False
529,Ca70Mg7.5Al22.5,True
530,Ca7Al3,True
531,Ca7Cu3,True
532,Ca7La61Cu32,True
533,Ca7Mg2Cu,True
534,Ca7Mg3,True
535,Ca7MgCu2,True
536,Ca8.5La56.5Cu35,True
537,Ca8.5La58.5Cu33,True
538,Ca8La59.5Cu32.5,True
539,Ca9Al91,True
540,Ca9La57.5Cu33.5,True
541,CaAl17Ni2,False
542,CaAl18Fe,False
543,CaAl18Ni,False
544,CaAl8Ni,False
545,CaAl9,True
546,CaLa13Cu6,True
547,CaMg17Cu2,False
548,CaMg17Zn2,False
549,CaMg18Cu,False
550,CaMg18Zn,False
551,CaMg7Al2,True
552,CaMg8Zn,True
553,CaMg9,False
554,Ce(Al2Ni)3,True
555,Ce(Al6Fe)7,False
556,Ce(Cu2Ag)3,True
557,Ce(Cu7Ag5)2,True
558,Ce(CuAg2)3,False
559,Ce(Mg2Ni)3,True
560,Ce(MgNi)2,False
561,Ce10(Al29Cr)3,True
562,Ce10Al61Ni29,True
563,Ce10Al77Co13,False
564,Ce10Al83Cr7,False
565,Ce10Al89Ni,True
566,Ce10Mn7Al83,False
567,Ce10Nb13Al77,False
568,Ce11Al5Ni4,True
569,Ce11Al89,True
570,Ce13Al85V2,False
571,Ce13Al87,True
572,Ce17Al71Fe12,False
573,Ce18Al67Fe15,False
574,Ce18Al77Fe5,False
575,Ce2(Al5Co)3,False
576,Ce2(Al5Cu)3,True
577,Ce2(Al5Fe)3,False
578,Ce2(Al5Ni)3,True
579,Ce2(AlCu15)3,False
580,Ce2(Mg5Cu)3,True
581,Ce2(Mg5Ni)3,True
582,Ce23Al60Fe17,False
583,Ce23Al64Fe13,False
584,Ce25.5Al62.5Fe12,False
585,Ce25Al62.5Fe12.5,False
586,Ce2Al17Co,True
587,Ce2Al17Cr,True
588,Ce2Al17Cu,True
589,Ce2Al17Fe,True
590,Ce2Al17Ni,True
591,Ce2Al17V,False
592,Ce2Al22V,False
593,Ce2Al23,True
594,Ce2Al2Cu21,True
595,Ce2Al3Cu20,True
596,Ce2Al43Ni5,True
597,Ce2Al47Co,False
598,Ce2Al47Fe,False
599,Ce2Al5Cu43,False
600,Ce2Al7Fe,False
601,Ce2Al7Ni,False
602,Ce2Al83Cu15,False
603,Ce2Al93Cr5,False
604,Ce2Al95Co3,False
605,Ce2AlCu22,False
606,Ce2Cu13Ag10,True
607,Ce2Cu23Ag25,True
608,Ce2Cu53Ag45,False
609,Ce2Mg13Cu5,True
610,Ce2Mg17Cu,False
611,Ce2Mg17Ni,True
612,Ce2Mg5Ni3,True
613,Ce2Mg7Cu,False
614,Ce2Mg7Ni,False
615,Ce2Mn5Al93,False
616,Ce2MnAl17,True
617,Ce2NbAl17,True
618,Ce3Al13Fe4,False
619,Ce3Al13Ni4,True
620,Ce3Al14Cu3,False
621,Ce3Al14Fe3,False
622,Ce3Al14Ni3,True
623,Ce3Al15Co2,False
624,Ce3Al15Cu2,False
625,Ce3Al15Fe2,False
626,Ce3Al16Co,False
627,Ce3Al16Cr,False
628,Ce3Al16Cu,False
629,Ce3Al16Fe,False
630,Ce3Al16Ni,False
631,Ce3Al22,True
632,Ce3Al3Cu44,False
633,Ce3Al42Ni5,True
634,Ce3Al43Ni4,True
635,Ce3Al47,False
636,Ce3Al4Cu43,False
637,Ce3Al5Cu42,False
638,Ce3Al6Cu41,False
639,Ce3Al7Cu40,False
640,Ce3Al90Co7,True
641,Ce3Al90Fe7,True
642,Ce3AlCu46,False
643,Ce3Cu32Ag15,True
644,Ce3Cu37Ag10,True
645,Ce3Cu37Ag60,False
646,Ce3Cu42Ag5,True
647,Ce3Cu47Ag50,True
648,Ce3Cu52Ag45,True
649,Ce3Cu57Ag40,True
650,Ce3Cu62Ag35,False
651,Ce3Cu67Ag30,False
652,Ce3Cu77Ag20,False
653,Ce3Cu87Ag10,False
654,Ce3Mg12Cu5,False
655,Ce3Mg13Cu4,True
656,Ce3Mg14Cu3,True
657,Ce3Mg15Cu2,False
658,Ce3Mg15Ni2,True
659,Ce3Mg16Cu,False
660,Ce3Mg4Ni3,False
661,Ce3Mg85Zn12,True
662,Ce3Nb2Al15,False
663,Ce3NbAl16,False
664,Ce3NbAl46,True
665,Ce4(Cu17Ag15)3,True
666,Ce4(Cu27Ag5)3,False
667,Ce4Al13Fe3,False
668,Ce4Al15Fe,False
669,Ce4Al3Cu43,False
670,Ce4Al41Ni5,True
671,Ce4Al5Cu41,True
672,Ce4Al7Cu39,False
673,Ce4AlCu45,False
674,Ce4Cu43Ag3,False
675,Ce4Cu61Ag35,True
676,Ce4Mg11Cu5,False
677,Ce4Mg13Cu3,False
678,Ce4Mg15Cu,False
679,Ce4NbAl45,True
680,Ce5(Al2Cu13)3,False
681,Ce5(Al4Fe)3,False
682,Ce5(AlCu14)3,True
683,Ce5(Mg4Ni)9,True
684,Ce5Al13Fe2,False
685,Ce5Al2Cu43,False
686,Ce5Al44Co,True
687,Ce5Al44Cu,True
688,Ce5Al44Fe,True
689,Ce5Al44V,True
690,Ce5Al4Cu41,True
691,Ce5Al7Cu38,False
692,Ce5Al83Co12,True
693,Ce5Al87Ni8,True
694,Ce5Al88Cu7,False
695,Ce5Al91Ni4,True
696,Ce5AlCu44,False
697,Ce5Mn2Al43,True
698,Ce5MnAl44,True
699,Ce5NbAl44,True
700,Ce6Al85Ni9,True
701,Ce6Al87Ni7,True
702,Ce6Al89V5,False
703,Ce6Cu39Ag55,True
704,Ce6Cu59Ag35,True
705,Ce6Cu69Ag25,True
706,Ce6Cu79Ag15,True
707,Ce6Cu89Ag5,False
708,Ce6Mn5Al89,False
709,Ce7Al83Cu10,True
710,Ce7Al83Fe10,True
711,Ce7Al93,True
712,Ce7Nb10Al83,True
713,Ce8Al87Co5,True
714,Ce8Al87Cr5,False
715,Ce8Al87Cu5,True
716,Ce8Al87Fe5,True
717,Ce8Al89Cr3,False
718,Ce8Cu37Ag55,True
719,Ce8Cu87Ag5,False
720,Ce8Mn5Al87,False
721,Ce8Nb5Al87,True
722,Ce9Al91,True
723,CeAl13Ni6,True
724,CeAl15Co4,False
725,CeAl15Cu4,False
726,CeAl15Ni4,True
727,CeAl16Co3,True
728,CeAl16Cu3,True
729,CeAl16Ni3,True
730,CeAl17Co2,True
731,CeAl17Cu2,True
732,CeAl17Fe2,True
733,CeAl17Ni2,True
734,CeAl18Co,True
735,CeAl18Cu,False
736,CeAl18Fe,True
737,CeAl18Ni,False
738,CeAl19,False
739,CeAl3Fe,False
740,CeAl3Ni,False
741,CeAl44Co5,True
742,CeAl44Cu5,False
743,CeAl44Fe5,True
744,CeAl44Ni5,True
745,CeAl47Cr2,False
746,CeAl47Fe2,False
747,CeAl47V2,False
748,CeAl5Cu44,False
749,CeAl7Cu2,False
750,CeAl7Fe2,False
751,CeAl7Ni2,True
752,CeAl89Fe10,False
753,CeAl8Co,True
754,CeAl8Cr,False
755,CeAl8Cu,True
756,CeAl8Fe,True
757,CeAl8Ni,True
758,CeAl8V,False
759,CeAl9,True
760,CeAlCu23,False
761,CeAlCu8,False
762,CeCu10Ag9,True
763,CeCu11Ag8,True
764,CeCu12Ag7,True
765,CeCu13Ag6,False
766,CeCu15Ag4,False
767,CeCu17Ag2,False
768,CeCu18Ag,False
769,CeCu19Ag5,False
770,CeCu24Ag25,False
771,CeCu29Ag20,False
772,CeCu2Ag7,False
773,CeCu4Ag5,True
774,CeCu59Ag40,False
775,CeCu5Ag14,False
776,CeCu5Ag4,True
777,CeCu7Ag12,False
778,CeCu7Ag2,True
779,CeCu8Ag,True
780,CeCu8Ag11,True
781,CeCu9Ag10,True
782,CeMg13Cu6,True
783,CeMg14Cu5,True
784,CeMg15Cu4,True
785,CeMg15Ni4,True
786,CeMg16Cu3,True
787,CeMg17Cu2,True
788,CeMg17Ni2,True
789,CeMg18Cu,False
790,CeMg18Ni,False
791,CeMg2Cu,False
792,CeMg3Cu,False
793,CeMg3Ni,True
794,CeMg7Cu2,True
795,CeMg7Ni2,True
796,CeMg8Cu,True
797,CeMg8Ni,True
798,CeMg9,False
799,CeMn2Al17,False
800,CeMn2Al47,False
801,CeMn5Al44,False
802,CeMnAl8,False
803,CeNb2Al17,False
804,CeNbAl18,False
805,CeNbAl8,True
806,Co,False
807,Co1.7Si16.5Pd81.8,True
808,Co10Ni68.5P21.5,False
809,Co10Ni71P19,False
810,Co10Ni73P17,False
811,Co10Si16.5Pd73.5,True
812,Co11Mo9C5,True
813,Co12.5Ni66P21.5,False
814,Co12.5Ni68.5P19,False
815,Co12.5Ni70.5P17,False
816,Co12.5Si16.5Pd71,True
817,Co12B8C5,False
818,Co12B9C4,False
819,Co12Mo8C5,True
820,Co12Mo9C4,True
821,Co13(B2C)4,True
822,Co13(B3C)3,False
823,Co13B7,True
824,Co13B7C5,False
825,Co13Mo7C5,True
826,Co13Si2B5,True
827,Co13Si3B4,True
828,Co13Si4B3,False
829,Co13SiB6,True
830,Co13W3C4,False
831,Co13W4C3,False
832,Co14(SiB)3,True
833,Co14(WC)3,True
834,Co14B6C5,True
835,Co14B7C4,True
836,Co14B8C3,True
837,Co14B9C2,False
838,Co14Mo6C5,True
839,Co14Mo7C4,True
840,Co14Ni64.5P21.5,False
841,Co14Ni67P19,False
842,Co14Ni69P17,False
843,Co14Si5C,False
844,Co14SiB5,True
845,Co15(B3C2)2,True
846,Co15(B4C)2,True
847,Co15(Mo3C2)2,True
848,Co15B7C3,True
849,Co15B9C,True
850,Co15Si16.5Pd68.5,True
851,Co15Si2B3,True
852,Co15Si2C3,False
853,Co15Si3B2,True
854,Co15Si3C2,False
855,Co15Si4B,False
856,Co15Si4C,False
857,Co15SiB4,True
858,Co15SiC4,False
859,Co15W2C3,False
860,Co15W3C2,False
861,Co15WC4,False
862,Co16(B2C)3,True
863,Co16B4C5,False
864,Co16B5C4,True
865,Co16B7C2,True
866,Co16B8C,True
867,Co16B9,True
868,Co16Mo4C5,True
869,Co16Mo5C4,True
870,Co16Ni65P19,False
871,Co16Si3C,False
872,Co16SiB3,True
873,Co16SiC3,False
874,Co16W3C,False
875,Co16W5C4,False
876,Co16WC3,False
877,Co17(B3C)2,True
878,Co17(BC)4,False
879,Co17(MoC)4,True
880,Co17(SiB)4,True
881,Co17(WC)4,False
882,Co17B3,False
883,Co17B5C3,True
884,Co17B7C,True
885,Co17B8,True
886,Co17C3,False
887,Co17Mo3C5,True
888,Co17Si3,False
889,Co17SiB2,False
890,Co17SiC2,False
891,Co17W2C,False
892,Co17W3C5,False
893,Co17W5C3,False
894,Co18B3C4,False
895,Co18B4C3,True
896,Co18B5C2,True
897,Co18B6C,True
898,Co18B7,True
899,Co18Mo3C4,True
900,Co18W3C4,True
901,Co18WC,False
902,Co19(B2C)2,True
903,Co19(BC)3,True
904,Co19B5C,True
905,Co19B6,True
906,Co19Si,False
907,Co2(Ni11P3)7,True
908,Co20.9Si16.5Pd62.6,False
909,Co20B2C3,False
910,Co20B3C2,False
911,Co20B4C,True
912,Co21(BC)2,False
913,Co21B3C,False
914,Co21B4,True
915,Co21Mo20C9,False
916,Co22B2C,False
917,Co22B3,True
918,Co23(Mo2C)9,True
919,Co23Mo16C11,True
920,Co23Mo20C7,False
921,Co25Mo14C11,True
922,Co25Mo16C9,True
923,Co25Mo18C7,False
924,Co27Mo12C11,True
925,Co27Mo14C9,True
926,Co29(Mo4C3)3,True
927,Co29(W4C3)3,False
928,Co29B20C,False
929,Co29Mo10C11,True
930,Co2Ni78.5P19.5,True
931,Co2Ni81P17,False
932,Co3.5Ni74.5P22,False
933,Co3.5Ni75.5P21,True
934,Co3.5Ni77P19.5,True
935,Co3.5Ni78.5P18,True
936,Co3.5Ni79.5P17,False
937,Co31B18C,True
938,Co31B19,True
939,Co31Mo10C9,True
940,Co31Mo12C7,False
941,Co31Mo8C11,True
942,Co31W10C9,False
943,Co33B16C,True
944,Co33B17,True
945,Co33Mo8C9,True
946,Co33Ni33B34,True
947,Co33W10C7,False
948,Co33W8C9,False
949,Co34Mo5C11,True
950,Co34W7C9,False
951,Co35(Mo2C3)3,True
952,Co35(W2C3)3,True
953,Co35Mo8C7,False
954,Co35W7C8,True
955,Co35W8C7,True
956,Co36(WC)7,True
957,Co36Mo5C9,True
958,Co36W5C9,False
959,Co37B13,True
960,Co37Mo4C9,False
961,Co37Mo5C8,False
962,Co37Mo6C7,False
963,Co37W5C8,False
964,Co37W7C6,False
965,Co38Mo5C7,False
966,Co38W5C7,False
967,Co39B11,True
